date,population,population_over18,pc_over18
2014-04-01,317980060,244402649,76.86099845380242
2014-05-01,318168883,244593077,76.87523515616704
2014-06-01,318363944,244787813,76.88930157241676
2014-07-01,318563456,244986302,76.90345436232334
2014-08-01,318801527,245212807,76.91707417700042
2014-09-01,319035953,245436615,76.93070724226494
2014-10-01,319266687,245657627,76.94433431446608
2014-11-01,319482713,245862985,76.9565848152792
2014-12-01,319672466,246048554,76.96895421703289
2015-01-01,319854907,246227289,76.98093216997293
2015-02-01,320004267,246381367,76.99315053195838
2015-03-01,320165248,246545705,77.00576703440343
2015-04-01,320335611,246716304,77.01806965195637
2015-05-01,320512358,246896341,77.03176955192474
2015-06-01,320700604,247084864,77.04533790026787
2015-07-01,320896618,247279859,77.059041800185
2015-08-01,321114009,247483877,77.07040803691626
2015-09-01,321331530,247688097,77.08179057311929
2015-10-01,321553940,247896092,77.09315954890803
2015-11-01,321740584,248071553,77.10297218830186
2015-12-01,321931311,248250417,77.11285249914694
2016-01-01,322064447,248384010,77.1224555562322
2016-02-01,322225731,248555246,77.13699499683966
2016-03-01,322393448,248732154,77.15173975868144
2016-04-01,322563614,248910480,77.16632291948466
2016-05-01,322740344,249093612,77.18081009419758
2016-06-01,322928068,249284754,77.19513374724677
2016-07-01,323127513,249485228,77.20952811591751
2016-08-01,323345274,249693314,77.22188449242651
2016-09-01,323563193,249901571,77.23423937159626
2016-10-01,323778180,250107754,77.24663657075347
2016-11-01,323974632,250295692,77.2578057901768
2016-12-01,324142480,250462056,77.26912436777802
2017-01-01,324309805,250627035,77.2801287953659
2017-02-01,324463017,250786578,77.292808381918
2017-03-01,324621079,250951148,77.30586959203595
2017-04-01,324787020,251120883,77.31863268427415
2017-05-01,324961828,251302517,77.33293431621145
2017-06-01,325150902,251494791,77.34709928622618
2017-07-01,325344115,251690701,77.36138119480046
2017-08-01,325561876,251902413,77.37466563806137
2017-09-01,325779795,252114296,77.38794727892808
2017-10-01,325994783,252324102,77.4012699460899
2017-11-01,326191237,252514175,77.41292418594311
2017-12-01,326359084,252682634,77.42472827874465
